time,car_acceleration,car_velocity,car_position,front_right_vertical_load,front_right_x_friction,front_right_y_friction,front_right_rolling_resistance,front_left_vertical_load,front_left_x_friction,front_left_y_friction,front_left_rolling_resistance,rear_right_vertical_load,rear_right_x_friction,rear_right_y_friction,rear_right_rolling_resistance,rear_left_vertical_load,rear_left_x_friction,rear_left_y_friction,rear_left_rolling_resistance,cnt_grav_inertial_z,cnt_grav_inertial_x,cnt_grav_inertial_y
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,"(np.float64(0.8108785626399454), np.float64(0.0), np.float64(9.81))","(0, 0, 0)","(0, 0, 0)",613.125,0.0,0.0,-100.0,613.125,0.0,0.0,-100.0,613.125,301.35982032999317,-0.0,-100.0,613.125,301.35982032999317,-0.0,-100.0,0.0,0.0,0.0
10,"(np.float64(1.150357573808269), np.float64(0.0), np.float64(9.81))","(np.float64(0.040543928131997274), np.float64(0.0), 0)","(np.float64(0.003040794609899796), np.float64(0.0), 0)",502.6263992123358,0.0,0.0,-100.0,502.6263992123358,0.0,0.0,-100.0,723.6236007876641,343.79469672603364,-0.0,-100.0,723.6236007876641,343.79469672603364,-0.0,-100.0,0.0,0.0,0.0
15,"(np.float64(1.1974036479027919), np.float64(0.0), np.float64(9.81))","(np.float64(0.09806180682241072), np.float64(0.0), 0)","(np.float64(0.00938183191828067), np.float64(0.0), 0)",487.06694453378765,0.0,0.0,-100.0,487.06694453378765,0.0,0.0,-100.0,739.1830554662123,349.675455987849,-0.0,-100.0,739.1830554662123,349.675455987849,-0.0,-100.0,0.0,0.0,0.0
20,"(np.float64(1.2039081880642015), np.float64(0.0), np.float64(9.81))","(np.float64(0.1579319892175503), np.float64(0.0), 0)","(np.float64(0.018775185939036678), np.float64(0.0), 0)",484.9106661377887,0.0,0.0,-100.0,484.9106661377887,0.0,0.0,-100.0,741.3393338622112,350.4885235080252,-0.0,-100.0,741.3393338622112,350.4885235080252,-0.0,-100.0,0.0,0.0,0.0
25,"(np.float64(1.2048072053625043), np.float64(0.0), np.float64(9.81))","(np.float64(0.2181273986207604), np.float64(0.0), 0)","(np.float64(0.03118644110515495), np.float64(0.0), 0)",484.6125413803907,0.0,0.0,-100.0,484.6125413803907,0.0,0.0,-100.0,741.6374586196092,350.600900670313,-0.0,-100.0,741.6374586196092,350.600900670313,-0.0,-100.0,0.0,0.0,0.0
30,"(np.float64(1.2049314563594984), np.float64(0.0), np.float64(9.81))","(np.float64(0.2783677588888856), np.float64(0.0), 0)","(np.float64(0.04661083805630236), np.float64(0.0), 0)",484.5713364208852,0.0,0.0,-100.0,484.5713364208852,0.0,0.0,-100.0,741.6786635791148,350.6164320449373,-0.0,-100.0,741.6786635791148,350.6164320449373,-0.0,-100.0,0.0,0.0,0.0
35,"(np.float64(1.2049486286807678), np.float64(0.0), np.float64(9.81))","(np.float64(0.3386143317068605), np.float64(0.0), 0)","(np.float64(0.06504771896209477), np.float64(0.0), 0)",484.565641583523,0.0,0.0,-100.0,484.565641583523,0.0,0.0,-100.0,741.6843584164769,350.618578585096,-0.0,-100.0,741.6843584164769,350.618578585096,-0.0,-100.0,0.0,0.0,0.0
40,"(np.float64(1.2049510020087113), np.float64(0.0), np.float64(9.81))","(np.float64(0.3988617631408989), np.float64(0.0), 0)","(np.float64(0.08649699290499067), np.float64(0.0), 0)",484.5648545187981,0.0,0.0,-100.0,484.5648545187981,0.0,0.0,-100.0,741.6851454812019,350.6188752510889,-0.0,-100.0,741.6851454812019,350.6188752510889,-0.0,-100.0,0.0,0.0,0.0
45,"(np.float64(1.2049513300182315), np.float64(0.0), np.float64(9.81))","(np.float64(0.45910931324133447), np.float64(0.0), 0)","(np.float64(0.1109586473195683), np.float64(0.0), 0)",484.56474574126736,0.0,0.0,-100.0,484.56474574126736,0.0,0.0,-100.0,741.6852542587326,350.61891625227895,-0.0,-100.0,741.6852542587326,350.61891625227895,-0.0,-100.0,0.0,0.0,0.0
50,"(np.float64(1.2049513753513033), np.float64(0.0), np.float64(9.81))","(np.float64(0.5193568797422461), np.float64(0.0), 0)","(np.float64(0.1384326804692034), np.float64(0.0), 0)",484.56473070749774,0.0,0.0,-100.0,484.56473070749774,0.0,0.0,-100.0,741.6852692925022,350.6189219189129,-0.0,-100.0,741.6852692925022,350.6189219189129,-0.0,-100.0,0.0,0.0,0.0
55,"(np.float64(1.2049513816166308), np.float64(0.0), np.float64(9.81))","(np.float64(0.5796044485098113), np.float64(0.0), 0)","(np.float64(0.1689190921138831), np.float64(0.0), 0)",484.564728629732,0.0,0.0,-100.0,484.564728629732,0.0,0.0,-100.0,741.685271370268,350.61892270207886,-0.0,-100.0,741.685271370268,350.61892270207886,-0.0,-100.0,0.0,0.0,0.0
60,"(np.float64(1.2049513824825404), np.float64(0.0), np.float64(9.81))","(np.float64(0.6398520175906428), np.float64(0.0), 0)","(np.float64(0.20241788222043602), np.float64(0.0), 0)",484.5647283425711,0.0,0.0,-100.0,484.5647283425711,0.0,0.0,-100.0,741.6852716574289,350.61892281031754,-0.0,-100.0,741.6852716574289,350.61892281031754,-0.0,-100.0,0.0,0.0,0.0
65,"(np.float64(1.2049513826022153), np.float64(0.0), np.float64(9.81))","(np.float64(0.7000995867147698), np.float64(0.0), 0)","(np.float64(0.23892905078427767), np.float64(0.0), 0)",484.56472830288357,0.0,0.0,-100.0,484.56472830288357,0.0,0.0,-100.0,741.6852716971164,350.6189228252769,-0.0,-100.0,741.6852716971164,350.6189228252769,-0.0,-100.0,0.0,0.0,0.0
70,"(np.float64(1.2049513826187543), np.float64(0.0), np.float64(9.81))","(np.float64(0.7603471558448806), np.float64(0.0), 0)","(np.float64(0.2784525978047745), np.float64(0.0), 0)",484.5647282973985,0.0,0.0,-100.0,484.5647282973985,0.0,0.0,-100.0,741.6852717026014,350.6189228273443,-0.0,-100.0,741.6852717026014,350.6189228273443,-0.0,-100.0,0.0,0.0,0.0
75,"(np.float64(1.2049513826210392), np.float64(0.0), np.float64(9.81))","(np.float64(0.8205947249758183), np.float64(0.0), 0)","(np.float64(0.32098852328183886), np.float64(0.0), 0)",484.56472829664045,0.0,0.0,-100.0,484.56472829664045,0.0,0.0,-100.0,741.6852717033595,350.6189228276299,-0.0,-100.0,741.6852717033595,350.6189228276299,-0.0,-100.0,0.0,0.0,0.0
80,"(np.float64(1.2049513826213556), np.float64(0.0), np.float64(9.81))","(np.float64(0.8808422941068703), np.float64(0.0), 0)","(np.float64(0.36653682721545866), np.float64(0.0), 0)",484.56472829653575,0.0,0.0,-100.0,484.56472829653575,0.0,0.0,-100.0,741.6852717034642,350.61892282766945,-0.0,-100.0,741.6852717034642,350.61892282766945,-0.0,-100.0,0.0,0.0,0.0
85,"(np.float64(1.204951382621399), np.float64(0.0), np.float64(9.81))","(np.float64(0.9410898632379381), np.float64(0.0), 0)","(np.float64(0.4150975096056323), np.float64(0.0), 0)",484.5647282965212,0.0,0.0,-100.0,484.5647282965212,0.0,0.0,-100.0,741.6852717034787,350.61892282767485,-0.0,-100.0,741.6852717034787,350.61892282767485,-0.0,-100.0,0.0,0.0,0.0
90,"(np.float64(1.204951382621405), np.float64(0.0), np.float64(9.81))","(np.float64(1.001337432369008), np.float64(0.0), 0)","(np.float64(0.46667057045235943), np.float64(0.0), 0)",484.56472829651926,0.0,0.0,-100.0,484.56472829651926,0.0,0.0,-100.0,741.6852717034807,350.61892282767565,-0.0,-100.0,741.6852717034807,350.61892282767565,-0.0,-100.0,0.0,0.0,0.0
