2025-03-14 11:33:32,439 | INFO     | car.py:12 | Starting Car.py Script
2025-03-14 11:34:54,522 | INFO     | car.py:12 | Starting Car.py Script
2025-03-14 11:35:49,325 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:40:00,785 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:41:22,428 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:43:27,351 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:43:40,595 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:44:23,657 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:44:39,436 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:45:24,949 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:53:18,629 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:53:50,621 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:54:08,891 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:54:10,803 | WARNING  | helper_functions.py:33 | Not all objects had the same type, or were not dataframes or Time Series
2025-03-14 11:55:49,560 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:55:51,443 | WARNING  | helper_functions.py:33 | Not all objects had the same type, or were not dataframes or Time Series. Recieved; [<class 'tuple'>, <class 'tuple'>, <class 'tuple'>, <class 'tuple'>, <class 'tuple'>]
2025-03-14 11:57:18,170 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:57:20,113 | WARNING  | helper_functions.py:33 | Not all objects had the same type, or were not dataframes or Time Series. Recieved; [(<class 'helper_functions.TimeSeriesStorage'>, 'front_right'), (<class 'helper_functions.TimeSeriesStorage'>, 'front_left'), (<class 'helper_functions.TimeSeriesStorage'>, 'rear_right'), (<class 'helper_functions.TimeSeriesStorage'>, 'rear_left'), (<class 'helper_functions.TimeSeriesStorage'>, 'cnt_grav')]
2025-03-14 11:57:55,501 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:57:57,390 | DEBUG    | helper_functions.py:29 | All objects to combine were TimeSeries
2025-03-14 11:58:50,861 | INFO     | car.py:13 | Starting Car.py Script
2025-03-14 11:58:52,732 | DEBUG    | helper_functions.py:29 | All objects to combine were TimeSeries
