2025-03-17 09:36:01,232 | INFO     | car.py:13 | Starting Car.py Script
2025-03-17 09:43:47,558 | INFO     | car.py:14 | Starting Car.py Script
2025-03-17 09:43:49,409 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:43:49,412 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:43:49,413 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:43:49,414 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:43:49,415 | DEBUG    | helper_functions.py:117 | All objects to combine were TimeSeries
2025-03-17 09:45:36,345 | INFO     | car.py:14 | Starting Car.py Script
2025-03-17 09:45:38,193 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:45:38,194 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:45:38,195 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:45:38,196 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:45:38,198 | DEBUG    | helper_functions.py:117 | All objects to combine were TimeSeries
2025-03-17 09:46:11,500 | INFO     | car.py:14 | Starting Car.py Script
2025-03-17 09:46:13,325 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:46:13,326 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:46:13,327 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:46:13,328 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:46:13,329 | DEBUG    | helper_functions.py:117 | All objects to combine were TimeSeries
2025-03-17 09:46:13,333 | INFO     | acceleration_tester.py:23 | Starting Acceleration.py Script
2025-03-17 09:46:59,637 | INFO     | car.py:14 | Starting Car.py Script
2025-03-17 09:47:01,490 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:47:01,492 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:47:01,493 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:47:01,494 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:47:01,495 | DEBUG    | helper_functions.py:117 | All objects to combine were TimeSeries
2025-03-17 09:47:01,499 | INFO     | acceleration_tester.py:12 | Starting Acceleration.py Script
2025-03-17 09:56:52,780 | INFO     | car.py:14 | Starting Car.py Script
2025-03-17 09:56:54,588 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:56:54,589 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:56:54,590 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:56:54,591 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:57:07,956 | INFO     | car.py:14 | Starting Car.py Script
2025-03-17 09:57:09,787 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:57:09,789 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:57:09,790 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:57:09,791 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:57:41,718 | INFO     | car.py:14 | Starting Car.py Script
2025-03-17 09:57:43,550 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:57:43,552 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:57:43,553 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:57:43,554 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 09:57:43,554 | DEBUG    | helper_functions.py:117 | All objects to combine were TimeSeries
2025-03-17 09:57:43,558 | INFO     | acceleration_tester.py:12 | Starting Acceleration.py Script
2025-03-17 10:04:11,586 | INFO     | car.py:14 | Starting Car.py Script
2025-03-17 10:04:13,410 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 10:04:13,411 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 10:04:13,412 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 10:04:13,413 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 10:04:13,414 | DEBUG    | helper_functions.py:117 | All objects to combine were TimeSeries
2025-03-17 10:05:10,706 | INFO     | car.py:14 | Starting Car.py Script
2025-03-17 10:05:12,547 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 10:05:12,549 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
2025-03-17 10:05:12,550 | INFO     | helper_functions.py:32 | Starting data update at time 0.05
