2025-03-18 09:18:50,772 | INFO     | magic_formula_tire.py:15 | Starting Car.py Script
2025-03-18 09:18:50,773 | INFO     | car.py:14 | Starting Car.py Script
2025-03-18 09:18:50,775 | INFO     | helper_functions.py:50 | Starting data update for vehicle_dataframe:{'velocity': (0, 0, 0), 'position': (0, 0, 0)} at time 0.05
2025-03-18 09:18:51,277 | INFO     | magic_formula_tire.py:461 | Generated force to slip lookup table.
2025-03-18 09:18:51,278 | DEBUG    | car.py:410 | Forces and Moments:
2025-03-18 09:18:51,278 | DEBUG    | car.py:414 | Slip Ratio and Angle:
2025-03-18 09:18:51,786 | INFO     | magic_formula_tire.py:461 | Generated force to slip lookup table.
2025-03-18 09:18:51,787 | DEBUG    | car.py:410 | Forces and Moments:
2025-03-18 09:18:51,787 | DEBUG    | car.py:414 | Slip Ratio and Angle:
2025-03-18 09:18:52,294 | INFO     | magic_formula_tire.py:461 | Generated force to slip lookup table.
2025-03-18 09:18:52,294 | DEBUG    | car.py:410 | Forces and Moments:
2025-03-18 09:18:52,294 | DEBUG    | car.py:414 | Slip Ratio and Angle:
2025-03-18 09:18:52,804 | INFO     | magic_formula_tire.py:461 | Generated force to slip lookup table.
2025-03-18 09:18:52,805 | DEBUG    | car.py:410 | Forces and Moments:
2025-03-18 09:18:52,805 | DEBUG    | car.py:414 | Slip Ratio and Angle:
2025-03-18 09:18:52,806 | DEBUG    | car.py:383 | Returning total forces in x direction. Forces are : ['x_friction', 'rolling_resistance']. Sum was 0
2025-03-18 09:18:52,806 | DEBUG    | car.py:383 | Returning total forces in x direction. Forces are : ['x_friction', 'rolling_resistance']. Sum was 0
2025-03-18 09:18:52,806 | DEBUG    | car.py:383 | Returning total forces in x direction. Forces are : ['x_friction', 'rolling_resistance']. Sum was 0
2025-03-18 09:18:52,806 | DEBUG    | car.py:383 | Returning total forces in x direction. Forces are : ['x_friction', 'rolling_resistance']. Sum was 0
2025-03-18 09:18:52,806 | DEBUG    | car.py:383 | Returning total forces in y direction. Forces are : ['y_friction']. Sum was 0
2025-03-18 09:18:52,806 | DEBUG    | car.py:383 | Returning total forces in y direction. Forces are : ['y_friction']. Sum was 0
2025-03-18 09:18:52,806 | DEBUG    | car.py:383 | Returning total forces in y direction. Forces are : ['y_friction']. Sum was 0
2025-03-18 09:18:52,806 | DEBUG    | car.py:383 | Returning total forces in y direction. Forces are : ['y_friction']. Sum was 0
2025-03-18 09:18:52,806 | INFO     | helper_functions.py:50 | Starting data update for front_right:{'vertical_load': np.float64(613.125)} at time 0.05
2025-03-18 09:18:52,808 | INFO     | helper_functions.py:50 | Starting data update for front_left:{'vertical_load': np.float64(613.125)} at time 0.05
2025-03-18 09:18:52,809 | INFO     | helper_functions.py:50 | Starting data update for rear_right:{'vertical_load': np.float64(613.125)} at time 0.05
2025-03-18 09:18:52,810 | INFO     | helper_functions.py:50 | Starting data update for rear_left:{'vertical_load': np.float64(613.125)} at time 0.05
2025-03-18 09:18:52,811 | INFO     | helper_functions.py:50 | Starting data update for front_right:{'x_friction': 0, 'y_friction': 0, 'rolling_resistance': 0} at time 0.05
2025-03-18 09:18:52,812 | INFO     | helper_functions.py:50 | Starting data update for front_left:{'x_friction': 0, 'y_friction': 0, 'rolling_resistance': 0} at time 0.05
2025-03-18 09:18:52,812 | INFO     | helper_functions.py:50 | Starting data update for rear_right:{'x_friction': 0, 'y_friction': 0, 'rolling_resistance': 0} at time 0.05
2025-03-18 09:18:52,812 | INFO     | helper_functions.py:50 | Starting data update for rear_left:{'x_friction': 0, 'y_friction': 0, 'rolling_resistance': 0} at time 0.05
2025-03-18 09:18:52,812 | INFO     | helper_functions.py:50 | Starting data update for cnt_grav:{'inertial_z': 0, 'inertial_x': 0, 'inertial_y': 0} at time 0.05
2025-03-18 09:18:52,813 | DEBUG    | car.py:383 | Returning total forces in x direction. Forces are : ['x_friction', 'rolling_resistance']. Sum was 0.0
2025-03-18 09:18:52,813 | DEBUG    | car.py:383 | Returning total forces in y direction. Forces are : ['y_friction']. Sum was 0.0
2025-03-18 09:18:52,813 | DEBUG    | car.py:383 | Returning total forces in z direction. Forces are : ['vertical_load']. Sum was 613.125
2025-03-18 09:18:52,813 | DEBUG    | car.py:383 | Returning total forces in x direction. Forces are : ['x_friction', 'rolling_resistance']. Sum was 0.0
2025-03-18 09:18:52,813 | DEBUG    | car.py:383 | Returning total forces in y direction. Forces are : ['y_friction']. Sum was 0.0
2025-03-18 09:18:52,813 | DEBUG    | car.py:383 | Returning total forces in z direction. Forces are : ['vertical_load']. Sum was 613.125
2025-03-18 09:18:52,814 | DEBUG    | car.py:383 | Returning total forces in x direction. Forces are : ['x_friction', 'rolling_resistance']. Sum was 0.0
2025-03-18 09:18:52,814 | DEBUG    | car.py:383 | Returning total forces in y direction. Forces are : ['y_friction']. Sum was 0.0
2025-03-18 09:18:52,814 | DEBUG    | car.py:383 | Returning total forces in z direction. Forces are : ['vertical_load']. Sum was 613.125
2025-03-18 09:18:52,814 | DEBUG    | car.py:383 | Returning total forces in x direction. Forces are : ['x_friction', 'rolling_resistance']. Sum was 0.0
2025-03-18 09:18:52,814 | DEBUG    | car.py:383 | Returning total forces in y direction. Forces are : ['y_friction']. Sum was 0.0
2025-03-18 09:18:52,814 | DEBUG    | car.py:383 | Returning total forces in z direction. Forces are : ['vertical_load']. Sum was 613.125
2025-03-18 09:18:52,814 | DEBUG    | car.py:383 | Returning total forces in x direction. Forces are : ['inertial_x']. Sum was 0
2025-03-18 09:18:52,814 | DEBUG    | car.py:383 | Returning total forces in y direction. Forces are : ['inertial_y']. Sum was 0
2025-03-18 09:18:52,814 | DEBUG    | car.py:383 | Returning total forces in z direction. Forces are : ['inertial_z']. Sum was 0
2025-03-18 09:18:52,814 | INFO     | car.py:283 | Timestep 0.05 had resultant forces of [np.float64(0.0), np.float64(0.0), np.float64(2452.5)] And resultant torques of [np.float64(1868.805), np.float64(1868.8049999999998), np.float64(0.0)]
2025-03-18 09:18:52,815 | INFO     | helper_functions.py:50 | Starting data update for vehicle_dataframe:{'acceleration': (np.float64(0.0), np.float64(0.0), np.float64(9.81))} at time 0.05
2025-03-18 09:18:52,815 | INFO     | helper_functions.py:50 | Starting data update for vehicle_dataframe:{'velocity': (np.float64(0.0), np.float64(0.0), 0), 'position': (np.float64(0.0), np.float64(0.0), 0)} at time 0.1
2025-03-18 09:18:52,816 | DEBUG    | car.py:105 | After forces are applied; Position = (np.float64(0.0), np.float64(0.0), 0) -- Velocity = (np.float64(0.0), np.float64(0.0), 0) --
2025-03-18 09:18:52,816 | DEBUG    | helper_functions.py:144 | All objects to combine were TimeSeries
