2025-03-19 11:08:43,163 | INFO     | magic_formula_tire.py:15 | Starting Car.py Script
2025-03-19 11:08:43,165 | INFO     | car.py:14 | Starting Car.py Script
2025-03-19 11:08:43,170 | INFO     | helper_functions.py:50 | Starting data update for vehicle_dataframe:{'velocity': (0, 0, 0), 'position': (0, 0, 0)} at time 5
2025-03-19 11:08:43,690 | INFO     | magic_formula_tire.py:461 | Generated force to slip lookup table.
2025-03-19 11:08:43,691 | DEBUG    | car.py:423 | Forces and Moments:
2025-03-19 11:08:43,691 | DEBUG    | car.py:427 | Slip Ratio and Angle:
2025-03-19 11:08:44,209 | INFO     | magic_formula_tire.py:461 | Generated force to slip lookup table.
2025-03-19 11:08:44,209 | DEBUG    | car.py:423 | Forces and Moments:
2025-03-19 11:08:44,209 | DEBUG    | car.py:427 | Slip Ratio and Angle:
2025-03-19 11:08:44,724 | INFO     | magic_formula_tire.py:461 | Generated force to slip lookup table.
2025-03-19 11:08:44,724 | DEBUG    | car.py:423 | Forces and Moments:
2025-03-19 11:08:44,724 | DEBUG    | car.py:427 | Slip Ratio and Angle:
2025-03-19 11:08:45,236 | INFO     | magic_formula_tire.py:461 | Generated force to slip lookup table.
2025-03-19 11:08:45,236 | DEBUG    | car.py:423 | Forces and Moments:
2025-03-19 11:08:45,236 | DEBUG    | car.py:427 | Slip Ratio and Angle:
2025-03-19 11:08:45,237 | DEBUG    | car.py:396 | Returning total forces in x direction for point rear_right. Forces are : ['x_friction', 'rolling_resistance']. Sum was 0
2025-03-19 11:08:45,237 | DEBUG    | car.py:396 | Returning total forces in x direction for point rear_left. Forces are : ['x_friction', 'rolling_resistance']. Sum was 0
2025-03-19 11:08:45,237 | DEBUG    | car.py:396 | Returning total forces in x direction for point front_right. Forces are : ['x_friction', 'rolling_resistance']. Sum was 0
2025-03-19 11:08:45,237 | DEBUG    | car.py:396 | Returning total forces in x direction for point front_left. Forces are : ['x_friction', 'rolling_resistance']. Sum was 0
