2025-04-01 15:22:04,784 | INFO     | new_magic_formula_tire.py:47 | Initializing Pacejka Tire Model from hoosier_r20.par
2025-04-01 15:22:04,784 | INFO     | new_magic_formula_tire.py:92 | Loading parameters from: hoosier_r20.par
2025-04-01 15:22:04,784 | INFO     | new_magic_formula_tire.py:109 | Finished loading parameters from hoosier_r20.par
2025-04-01 15:22:04,784 | INFO     | new_magic_formula_tire.py:140 | All required parameters loaded successfully.
2025-04-01 15:22:04,791 | INFO     | new_magic_formula_tire.py:70 | Pacejka Tire Model initialized successfully.
2025-04-01 15:22:04,792 | INFO     | helper_functions.py:50 | Starting data update for FrontLeftTire:{'Fz_orig': 600.0, 'alpha_orig': 0.08726646259971647, 'kappa_orig': 0.05, 'gamma_orig': -0.03490658503988659, 'Fz_proc': 600.0, 'alpha_proc': 0.08726646259971647, 'kappa_proc': 0.05, 'gamma_proc': -0.03490658503988659, 'dfz': -0.10044977511244378, 'mu_y': -2.5434602875163503, 'K_y_alpha': -26391.249683571175, 'S_Hy': -0.0052736003372170544, 'S_Vy': -9.748784979530676, 'alpha_eff': 0.08199286226249942, 'D_y': -1526.0761725098102, 'C_y': 1.25788, 'B_y': 13.7481585504156, 'E_y': -0.825298970000951, 'mu_x': 2.763081403562761, 'K_x_kappa': 53384.66939891239, 'S_Hx': -0.0013438868065967016, 'S_Vx': -20.518352023988005, 'kappa_eff': 0.0486561131934033, 'D_x': 1657.8488421376567, 'C_x': 1.25788, 'B_x': 25.599554957375442, 'E_x': 0.5167417223388306, 'B_yk': 8.859082643170455, 'C_yk': 1.0, 'B_xa': 11.493915422653817, 'C_xa': 1.0, 'Fx_pure': 1398.1603655670963, 'Fy_pure': -1419.8245828191675, 'Gxa': 0.706035147921274, 'Gyk': 0.9143165538026595, 'Fx': 987.1503605208273, 'Fy': -1298.16911956752} at time 100
2025-04-01 15:22:04,793 | INFO     | helper_functions.py:50 | Starting data update for FrontLeftTire:{'Fz_orig': 700.0, 'alpha_orig': -0.13962634015954636, 'kappa_orig': -0.1, 'gamma_orig': -0.04363323129985824, 'Fz_proc': 700.0, 'alpha_proc': -0.13962634015954636, 'kappa_proc': -0.1, 'gamma_proc': -0.04363323129985824, 'dfz': 0.049475262368815595, 'mu_y': -2.546019747376962, 'K_y_alpha': -27708.228532487832, 'S_Hy': -0.0058680931876382595, 'S_Vy': 0.16517554798520656, 'alpha_eff': -0.14549443334718462, 'D_y': -1782.2138231638733, 'C_y': 1.25788, 'B_y': 12.359751558603664, 'E_y': -0.32032070106785826, 'mu_x': 2.7772320799272694, 'K_x_kappa': 56211.265334815085, 'S_Hx': -0.0009559512743628186, 'S_Vx': -18.820290254872564, 'kappa_eff': -0.10095595127436283, 'D_x': 1944.0624559490886, 'C_x': 1.25788, 'B_x': 22.986557540781533, 'E_x': 0.5386809427286358, 'B_yk': 7.665505919654679, 'C_yk': 1.0, 'B_xa': 10.28991510855053, 'C_xa': 1.0, 'Fx_pure': -1895.2410808346099, 'Fy_pure': 1756.7574348428477, 'Gxa': 0.571267148463812, 'Gyk': 0.7936508411312193, 'Fx': -1082.6889678998605, 'Fy': 1394.2520158265493} at time 535
2025-04-01 15:26:26,639 | INFO     | new_magic_formula_tire.py:47 | Initializing Pacejka Tire Model from hoosier_r20.par
2025-04-01 15:26:26,639 | INFO     | new_magic_formula_tire.py:92 | Loading parameters from: hoosier_r20.par
2025-04-01 15:26:26,639 | INFO     | new_magic_formula_tire.py:109 | Finished loading parameters from hoosier_r20.par
2025-04-01 15:26:26,639 | INFO     | new_magic_formula_tire.py:140 | All required parameters loaded successfully.
2025-04-01 15:26:26,644 | INFO     | new_magic_formula_tire.py:70 | Pacejka Tire Model initialized successfully.
2025-04-01 15:26:26,644 | INFO     | helper_functions.py:50 | Starting data update for FrontLeftTire:{'Fz_orig': 600.0, 'alpha_orig... at time 100
2025-04-01 15:26:26,646 | INFO     | helper_functions.py:50 | Starting data update for FrontLeftTire:{'Fz_orig': 700.0, 'alpha_orig... at time 535
