[Result Details]
Result Name,[147.51] CC-5 565lb (400) Plenum V1 35-15, 2019 Michigan Endurance
Date Created,10/14/2023 11:55:37 AM
Track,2019 Michigan Endurance
Track Configuration,Closed Circuit
Vehicle,CC-5 565lb (400) Plenum V1 35-15

[KPI Values]
Lap time [s],147.51254284215,
Percent in Corners [%],68.3077768353005,
Percent Accelerating [%],55.2254086164859,
Percent Braking [%],41.7319155875784,
Percent Coasting [%],0.138263022255413,
Percent 100% Throttle [%],22.1626620083608,
Percent TCS Enabled [%],90.3384883172323,
Lowest Speed [km/h],16.5679156747234,
Highest Speed [km/h],136.067689798957,
Average Speed [km/h],61.1483197844621,
Energy Spent [kJ],2099.39955133503,
Fuel Consumption [kg],∞,
Gear Shifts [-],31,
Maximum Lateral Acceleration [m/s^2],-15.2954010832546,
Maximum Longitudinal Acceleration [m/s^2],7.61896698977414,
Maximum Longitudinal Deceleration [m/s^2],-17.2369997815665,
Time in Sector 1 [s],147.51254284215,
Maximum Speed in Sector 1 [km/h],136.067689798957,
Minimum Speed in Sector 1 [km/h],16.5679156747234,
Percent in Gear 1 [%],83.8408644400786,
Percent in Gear 2 [%],12.5834970530452,
Percent in Gear 3 [%],0.00982318271119843,
Percent in Gear 4 [%],1.44400785854617,
Percent in Gear 5 [%],1.64047151277014,
Percent in Gear 6 [%],0.481335952848723,

[Vehicle Parameters]
Mass Longitudinal Friction [kg],0,
Vehicle Mass [kg],256.28,
Drag Coefficient [-],0.831,
Downforce Coefficient [-],-0.152,
Aero Efficiency [-],0.182912154031288,
Frontal Area [m^2],0.68,
Drivetrain Efficiency [%],84.75,
Tire Rolling Radius [m],0.203,
Air Density [kg/m^3],1.225,
Rev Limit [rpm],13000,
Longitudinal Friction [-],1.6,
Lateral Friction [-],1.56,
Final Drive Ratio [-],4.5,
Fuel Energy Density [J/kg],47200000,
Engine Thermal Efficiency [%],0,
Tire Rolling Drag [-],0.02,
Power Scaling Factor [%],100,
Aero Scaling Factor [%],100,
Grip Scaling Factor [%],100,
Mass Lateral Friction [kg],0,
Load Sensitivity Lateral Friction [-],0,
Load Sensitivity Longitudinal Friction [-],0,
Gear Ratio Data [-],0,
Gear Shift Points [rpm],0,
Torque Data [N.m],0,
RPM Data [rpm],0,

[Vehicle KPIs]
Top Speed [km/h],183.016843550187,
Shift Point [1 to 2] [rpm],13000,
Shift Point [2 to 3] [rpm],13000,
Shift Speed [1 to 2] [km/h],80.3943080031366,
Shift Speed [2 to 3] [km/h],110.542173504313,
Shift Point [3 to 4] [rpm],10841.3413413413,
Shift Speed [3 to 4] [km/h],110.601766007479,
Shift Point [4 to 5] [rpm],10384.8848848849,
Shift Speed [4 to 5] [km/h],122.306386827963,
Shift Point [5 to 6] [rpm],10223.2232232232,
Shift Speed [5 to 6] [km/h],133.329083921055,
Acceleration Time To Speed [27.778 km/h] [s],3.71615705076464,
Acceleration Time For Distance [100 m] [s],5.15174231057021,
Deceleration Time For Speed [27.778 km/h] [s],1.9128927490862,
Deceleration Distance For Speed [27.778 km/h] [m],24.0000000000001,

[Simulation Results]
speed,elapsedTime,elapsedDistance,lateralAcceleration,longitudinalAcceleration,gear,gearRatio,engineSpeed,torque,power,downForce,dragForce,tractionControl,throttlePosition,brakePosition,cornerRadius,sectorIndex,maximumCornerSpeed,loadSensitiveLatGrip,loadSensitiveLongGrip,yawangle,yawvelocity,yawacceleration,xposition,yposition,trackelevation,fz,
Speed (linear),Time,Length,Acceleration (linear),Acceleration (linear),Unitless,Unitless,Speed (angular),Torque,Power,Force,Force,Ratio,Ratio,Ratio,Length,Unitless,Speed (linear),Unitless,Unitless,Angle,Speed (angular),Acceleration (angular),Length,Length,Length,Force,
km/h,s,m,m/s^2,m/s^2,-,-,rpm,N.m,hp,N,N,%,%,%,m,-,km/h,-,-,deg,rpm,deg/s^2,m,m,m,N,
78.1622748247494,0.00711216372182717,0.213,14.4397409911345,1.48489463511287,1,12.375,12639.0735608061,46.0078661652315,81.9204545684689,-29.8433775505786,310.4357616006,0,17.6286753774204,0,59.963,1,107.815290816028,1.56,1.6,0,0,0,0.216604826075406,-0.000391222951941695,0,2484.26342244942,
78.2142777725078,0.016922523025203,0.426,7.87197533061413,1.47244997043614,1,12.375,12647.4825929583,46.1583613197988,81.9820971350284,-29.8831015703046,163.374061874494,75.2721003972364,94.193912792108,0,59.963,1,107.815290816028,1.6,1.56,0.206568554409039,2.34376547998843,25.0183035638503,0.433281736797427,-0.0090994971165954,0,2484.2236984297,
78.4186201774974,0.0267263596371103,0.639,7.91316166386788,5.78975164629245,1,12.375,12680.5253708719,46.0021323972886,81.918079420497,-30.0394505587401,164.228838252059,28.8449461113138,94.1437138719374,0,59.963,1,107.815290816028,1.6,1.56,0.413168338912256,3.12919630879883,8.38958535442743,0.649955821083831,-0.0170253304823605,0,2484.06734944126,
78.6218380199717,0.036504649516024,0.852,7.95422791281819,5.77293180978723,1,12.375,12713.3863036641,45.8467632531981,81.8529760814141,-30.1953436906356,165.081122413935,28.7488326180731,94.093372770795,0,59.963,1,107.815290816028,1.6,1.56,0.619799372516842,3.39744751021566,2.87281318827556,0.866624252535882,-0.0241687383641544,0,2483.91145630936,
78.8239384286317,0.046257664954371,1.065,7.99517375915859,5.75606618901009,1,12.375,12746.0665440672,45.6922484373162,81.7868085646065,-30.350779757656,165.930907754027,28.6540022902588,94.0428904066511,0,59.963,1,107.815290816028,1.6,1.56,0.826461673838671,3.49327408295591,1.02890591066424,1.08328420482861,-0.0305297462866175,0,2483.75602024234,
79.0249284243477,0.0559856741770296,1.278,8.03599888716519,5.7391551639887,1,12.375,12778.5672273768,45.5385825818731,81.7195980226065,-30.5057575612699,166.778187719838,28.5604612023912,93.9922677106822,0,59.963,1,107.815290816028,1.6,1.56,1.03315526110605,3.5315945522182,0.412510932645012,1.29993285174768,-0.03610838998378,0,2483.60104243873,
79.2248149225641,0.0656889414281233,1.491,8.07670298370534,5.72219911556722,1,12.375,12810.8894718411,45.3857603997016,81.6513653193225,-30.6602759127829,167.622955812648,28.4682154397889,93.941505627361,0,59.963,1,107.815290816028,1.6,1.56,1.23988015214939,3.55071528215834,0.206355045700116,1.51656736722628,-0.0409047153985956,0,2483.44652408722,
79.4236047356392,0.0753677270554484,1.704,8.1172857382462,5.70519842540659,1,12.375,12843.0343790387,45.2337766824486,81.5821310355526,-30.8143336333693,168.465205587697,28.3772710970756,93.8906051145452,0,59.963,1,107.815290816028,1.6,1.56,1.44663636440847,3.56340524696419,0.137299249938424,1.73318492538201,-0.0449187786823421,0,2483.29246636663,
