Type,Section Length,Corner Radius
Straight,5.193,0
Left,8.453,13.302
Left,19.202,11.911
Right,13.754,12.802
Straight,11.416,0
Left,9.965,14.674
Straight,3.949,0
Right,4.889,10.252
Straight,5.427,0
Left,5.759,7.436
Right,3.578,4.62
Straight,65.867,0
Left,4.191,10.718
Right,11.324,15.906
Straight,15.883,0
Left,2.222,5.442
Straight,8.117,0
Left,2.73,7.499
Straight,5.329,0
Right,6.174,7.939
Straight,3.845,0
Left,5.798,6.878
Straight,2.93,0
Right,8.646,12.003
Left,5.13,21.126
Straight,19.176,0
Straight,6.139,0
Left,6.41,9.753
Straight,8.161,0
Right,2.725,3.775
Straight,1.354,0
Right,2.389,1.521
Straight,4.166,0
Left,5,1
Left,6.642,8
Straight,19.07,0
Right,14.652,30
Straight,10.249,0
Left,10.674,22.334
Left,16.663,98.454
Right,10.011,28.306
Straight,56.388,0
Right,4.929,10
Left,15.318,20
Straight,3.374,0
Left,3.94,4.227
Right,3.35,3.982
Right,7.576,5.755
Straight,4.826,0
Left,11.161,12.403
Straight,17.165,0
Left,5.662,8.93
Left,5.556,2.922
Straight,8.893,0
Right,5.621,5.208
Right,7.721,9
Left,9.478,7
Left,8.089,11.11
Straight,7.878,0
Right,6.066,19.123
Straight,11.297,0
Left,12.743,15.158
Straight,9.328,0
Right,18.362,26
Left,3.813,10
Straight,3.181,0
Left,4.169,7
Right,4.507,11.182
Straight,5.309,0
Right,5.745,9.088
Left,5.802,16.851
Straight,5.08,0
Left,4.268,7.336
Straight,4.06,0
Right,5.527,8.016
Straight,10.393,0
Left,5.961,9.941
Right,11.409,13.204
Left,9.537,13
Right,9.183,9.407
Left,9.701,15
Straight,9.604,0
Left,5.522,50
Right,2.837,9.657
Straight,52,0
Left,4.243,15.608
Right,4.7,15.673
Straight,4.191,0
Left,6.657,12
Right,6.715,17
Straight,1.575,0
Right,5.666,11.71
Left,7.648,6.944
Straight,10.863,0
Right,8.717,15
Straight,13.462,0
Left,12.414,25
Straight,9.192,0
Right,8.421,10
Straight,15.644,0
Left,8,80
Left,6,16
Straight,8,0
Right,8,12
Right,4.116,4.381
Left,5.956,5.795
Left,12,25
Left,6.43,7
Left,4.977,15
Right,6.5,5.651
Right,6.5,15
Left,14,11.128
Right,9,8.255
Straight,6,0
Left,5,7.094
Straight,18,0
Left,14,10.5
Straight,21,0
