Type,Section Length,Corner Radius
Left,38.717,0.016676951
Right,6.853,0.086385625
Straight,23.733,0
Left,11.327,0.047895014
Right,13.964,0.05645571
Straight,12.983,0
Left,18.631,0.024666996
Right,15.443,0.010326525
Left,5.311,0.050198283
Right,5.419,0.065845789
Left,11.782,0.004494665
Straight,26.566,0
Right,11.658,0.010448229
Left,16.394,0.019170309
Right,10.675,0.060797665
Left,8.592,0.14349261
Right,11.096,0.12345679
Left,9.658,0.139938427
Right,11.772,0.090220137
Left,15.832,0.05049995
Straight,7.928,0
Right,16.309,0.033371154
Straight,9.363,0
Left,15.47,0.03440801
Straight,20.159,0
Right,12.486,0.035770496
Right,10.099,0.180505415
Straight,9.803,0
Left,24.404,0.008338128
Right,12.35,0.053453068
Left,12.437,0.058813151
Straight,8.591,0
Right,9.269,0.057597051
Straight,15.118,0
Left,13.741,0.03067767
Left,12.393,0.063820282
Right,17.917,0.089437439
Straight,9.339,0
Left,7.849,0.093170595
Right,7.127,0.016935375
Straight,45.95,0
Right,5.367,0.143061516
Left,3.531,0.293772033
Straight,6.83,0
Right,6.439,0.077887686
Straight,4.529,0
Left,8.745,0.083773142
Straight,10.101,0
Right,18.27,0.061195765
Straight,8.494,0
Right,28.197,0.047794293
Straight,9.722,0
Left,23.121,0.022630066
Straight,13.34,0
Left,17.848,0.059545076
Straight,4.398,0
Left,7.402,0.01975777
Straight,17.618,0
Right,10.216,0.084552296
Straight,5.891,0
Right,10.548,0.027204962
Straight,2.64,0
Right,8.295,0.073800738
Straight,2.015,0
Right,4.024,0.423190859
Left,12.713,0.127388535
Straight,3.057,0
Right,4.27,0.215424386
Straight,9.049,0
Left,3.582,0.303122158
Straight,1.513,0
Left,9.225,0.073529412
Straight,8.032,0
Left,17.134,0.062928702
Straight,1.299,0
Left,9.817,0.021034033
Straight,11.624,0
Right,5.24,0.067499156
Straight,0.981,0
Right,4.064,0.284495021
Straight,1.973,0
Right,6.783,0.21486893
Straight,4.129,0
Left,6.144,0.197355437
Straight,5.221,0
Right,6.463,0.085316952
Straight,2.215,0
Left,8.754,0.133922593
Straight,3.556,0
Right,4.994,0.212811236
Straight,5.752,0
Left,6.946,0.128998968
Straight,2.76,0
Left,11.03,0.028564084
Right,7.375,0.043731141
Straight,41.935,0
Right,4.266,0.090620752
Straight,6.985,0
Left,6.865,0.052592826
Straight,0.954,0
Left,8.576,0.181686047
Straight,0.819,0
Left,11.281,0.048243921
Straight,10.334,0
Right,3.53,0.118609892
Straight,0.599,0
Right,2.262,0.718907261
Straight,0.791,0
Right,16.647,0.008703902
Straight,2.399,0
Right,5.901,0.086258949
Left,5.521,0.04935347
Right,5.527,0.218292949
Straight,0.927,0
Right,6.457,0.0932314
Left,3.961,0.388802488
Straight,0.823,0
Left,6,0.099960016
Straight,6.424,0
Left,4.655,0.331345262
Straight,8.497,0
Right,6.819,0.080482897
Straight,4.182,0
Right,4.137,0.406173842
Straight,0.434,0
Right,11.253,0.051004794
Straight,8.091,0
Left,15.486,0.040138075
Left,7.994,0.076657723
Straight,3.068,0
Left,18.974,0.057484479
Straight,12.686,0
Right,8.457,0.050316997
Straight,3.072,0
Right,35.32,0.022341875
Right,27.389,0.045535267
Straight,0.898,0
Left,13.294,0.056198719
Straight,1.889,0
Left,10.385,0.034933277
Straight,10.575,0
Left,12.86,0.023393455
Straight,6.827,0
Left,9.467,0.112879558
Straight,1.379,0
Left,6.012,0.088794175
Straight,12.814,0
Left,5.195,0.116890707
Straight,3.562,0
Right,2.917,0.58411215
Straight,1.429,0
Right,15.909,0.032915309
Straight,8.141,0
Right,9.213,0.016363666
Straight,1.191,0
Right,4.275,0.191681043
Left,11.085,0.085287846
Straight,18.043,0
Right,3.61,0.121536218
Straight,0.408,0
Right,3.51,0.485908649
Straight,8.264,0
Left,3.339,0.171880371
Straight,0.213,0
Left,3.057,0.492368291
Straight,3.081,0
Right,4.502,0.146370023
Straight,1.883,0
Right,4.756,0.253228665
Straight,4.933,0
Left,7.011,0.208376745
Straight,2.393,0
Right,4.75,0.234521576
Straight,0.758,0
Right,12.301,0.009198955
Straight,4.985,0
Left,12.799,0.028855865
Straight,5.714,0
Right,10.682,0.060393767
Straight,6.082,0
Left,9.044,0.047782875
Straight,8.368,0
Right,10.455,0.041550671
Straight,5.069,0
Left,7.284,0.094482237
Right,4.626,0.080697224
Straight,2.802,0
Right,5.159,0.019440502
Straight,31.202,0
Left,21.077,0.007157069
Right,3.78,0.20173492
Left,2.261,0.320512821
Right,4.385,0.060448528
Straight,1.088,0
Left,25.754,0.03978516
Straight,8.014,0
Right,5.283,0.366032211
Straight,0.763,0
Right,6.709,0.062754942
Straight,1.092,0
Right,11.347,0.032483352
Straight,24.45,0
Left,19.605,0.017681277
Right,20.465,0.01288195
Straight,2.057,0
Right,19.262,0.009473016
Straight,1.219,0
Right,33.467,0.006552178
Straight,23.987,0
Left,19.945,0.015822034
Straight,6.307,0
Left,16.942,0.051503914
Straight,5.854,0
Left,12.107,0.019412199
Right,10.272,0.033300033
Left,9.007,0.056721497
Left,4.763,0.160616768
Straight,4.317,0
Right,7.787,0.142267748
Straight,5.274,0
Left,7.232,0.138484974
Straight,5.022,0
Right,6.732,0.147362216
Straight,7.26,0
Left,5.904,0.196850394
Straight,5.307,0
Right,6.222,0.180115274
Straight,6.245,0
Left,11.539,0.097665788
Straight,5.905,0
Right,2.449,0.319693095
Straight,8.3,0
Right,6.655,0.087145969
Straight,3.51,0
Right,21.29,0.033660967
Left,11.513,0.030631624
